Name,Type,Modality,Sphere,Cylinder,Axis,Add,BC,TD
Air Optix Aqua Multifocal,Multifocal,Monthly,-6.00,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-6.00,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-6.25,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-6.25,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-6.25,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-6.50,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-6.50,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-6.50,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-6.75,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-6.75,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-6.75,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.00,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.00,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.00,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.25,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.25,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.25,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.50,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.50,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.50,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.75,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.75,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-7.75,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.00,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.00,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.00,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.25,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.25,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.25,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.50,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.50,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.50,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.75,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.75,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-8.75,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.00,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.00,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.00,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.25,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.25,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.25,,,HIGH,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.50,,,LOW,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.50,,,MED,8.60,14.20
Air Optix Aqua Multifocal,Multifocal,Monthly,-9.50,,,HIGH,8.60,14.20
