Name,Type,Modality,Sphere -,Cylinder,Axis,Add,BC,TD
Air Optix Night & Day Aqua,Spherical,Monthly ,4.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,4.75,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,4.75,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,5.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,5.00,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,5.25,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,5.25,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,5.50,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,5.50,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,5.75,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,5.75,,,,8.60,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,6.00,,,,8.40,14.20
Air Optix Night & Day Aqua,Spherical,Monthly ,6.00,,,,8.60,14.20
