Name,Type,Modality,Sphere,Cylinder,Axis,Add,BC,TD
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-1.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.25,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.75,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.75,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-2.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.25,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.75,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.75,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-3.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.25,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.75,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.75,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-4.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.25,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.75,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.75,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-5.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.25,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.75,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.75,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-6.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.25,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.75,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.75,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-7.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.25,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.75,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.75,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-8.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.25,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.75,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.75,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-9.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-10.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-10.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,-10.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.25,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.25,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.25,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.50,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.50,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.50,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.75,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.75,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,0.75,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.00,,,LO,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.00,,,MED,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.00,,,HI,8.7,14
Alcon Dailies AquaComfort Plus Multifocal,Multifocal,Daily,1.25,,,LO,8.7,14
